Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,280,273,474,10
DFS,mapA,YES,14,15,13,116,1
IDS,mapA,YES,5,730,123,55,1
A* Basica,mapA,YES,5,57,187,172,2
A* Avancada,mapA,YES,5,7,4,58,1
BFS,mapB,YES,31,231,227,189,1
DFS,mapB,YES,41,86,86,130,1
IDS,mapB,YES,31,21121,11182,179,36
A* Basica,mapB,YES,31,151,223,166,2
A* Avancada,mapB,YES,31,125,188,150,2
BFS,mapC,YES,37,32525,31675,15868,112
DFS,mapC,YES,463,480,984,2402,3
IDS,mapC,YES,37,3743878,2586242,12425,3218
A* Basica,mapC,YES,37,11164,43833,12946,105
A* Avancada,mapC,YES,37,5747,22248,7650,51
BFS,mapD,YES,79,406889,406098,122398,2676
DFS,mapD,NO(OUT OF MEMORY ERROR)),-,22131,77783,141394,20021
IDS,mapD,NO),-,61810597,48169770,80449,189384
A* Basica,mapD,YES,79,105494,651661,108095,3369
A* Avancada,mapD,YES,79,75951,468051,84572,2396
